SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск","Лицо","Работающие по найму",117494
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",107
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск","Лицо","Работающие не по найму с привлечением наемных работников",2816
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск","Лицо","Работающие не по найму без привлечения наемных работников",3990
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск","Лицо","Работающие не по найму - иное",297
"Сельские населенные пункты, подчиненные администрации г. Кемь","Лицо","Не указавшие положение в занятости",8109
"Сельские населенные пункты, подчиненные администрации г. Кемь","Лицо","Работающие по найму",6883
"Сельские населенные пункты, подчиненные администрации г. Кемь","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Сельские населенные пункты, подчиненные администрации г. Кемь","Лицо","Работающие не по найму с привлечением наемных работников",80
"Сельские населенные пункты, подчиненные администрации г. Кемь","Лицо","Работающие не по найму без привлечения наемных работников",131
"Сельские населенные пункты, подчиненные администрации г. Кемь","Лицо","Работающие не по найму - иное",13
"г. Кондопога","Лицо","Не указавшие положение в занятости",17374
"г. Кондопога","Лицо","Работающие по найму",16989
"г. Кондопога","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",12
"г. Кондопога","Лицо","Работающие не по найму с привлечением наемных работников",185
"г. Кондопога","Лицо","Работающие не по найму без привлечения наемных работников",193
"г. Кондопога","Лицо","Работающие не по найму - иное",64
"Сельские населенные пункты, подчиненные администрации г. Костомукша","Лицо","Не указавшие положение в занятости",12664
"Сельские населенные пункты, подчиненные администрации г. Костомукша","Лицо","Работающие по найму",16608
"Сельские населенные пункты, подчиненные администрации г. Костомукша","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"Сельские населенные пункты, подчиненные администрации г. Костомукша","Лицо","Работающие не по найму с привлечением наемных работников",226
"Сельские населенные пункты, подчиненные администрации г. Костомукша","Лицо","Работающие не по найму без привлечения наемных работников",437
"Сельские населенные пункты, подчиненные администрации г. Костомукша","Лицо","Работающие не по найму - иное",34
"г. Питкяранта","Лицо","Не указавшие положение в занятости",6403
"г. Питкяранта","Лицо","Работающие по найму",6615
"г. Питкяранта","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",12
"г. Питкяранта","Лицо","Работающие не по найму с привлечением наемных работников",96
"г. Питкяранта","Лицо","Работающие не по найму без привлечения наемных работников",147
"г. Питкяранта","Лицо","Работающие не по найму - иное",8
"Сельские населенные пункты, подчиненные администрации г. Сегежа","Лицо","Не указавшие положение в занятости",17150
"Сельские населенные пункты, подчиненные администрации г. Сегежа","Лицо","Работающие по найму",15385
"Сельские населенные пункты, подчиненные администрации г. Сегежа","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",11
"Сельские населенные пункты, подчиненные администрации г. Сегежа","Лицо","Работающие не по найму с привлечением наемных работников",141
"Сельские населенные пункты, подчиненные администрации г. Сегежа","Лицо","Работающие не по найму без привлечения наемных работников",252
"Сельские населенные пункты, подчиненные администрации г. Сегежа","Лицо","Работающие не по найму - иное",58
"г. Сортавала","Лицо","Не указавшие положение в занятости",18781
"г. Сортавала","Лицо","Работающие по найму",14841
"г. Сортавала","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"г. Сортавала","Лицо","Работающие не по найму с привлечением наемных работников",206
"г. Сортавала","Лицо","Работающие не по найму без привлечения наемных работников",279
"г. Сортавала","Лицо","Работающие не по найму - иное",69
"Total","Лицо","Не указавшие положение в занятости",381942
"Total","Лицо","Работающие по найму",305941
"Total","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",259
"Total","Лицо","Работающие не по найму с привлечением наемных работников",4766
"Total","Лицо","Работающие не по найму без привлечения наемных работников",7528
"Total","Лицо","Работающие не по найму - иное",877


"INFO","Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
