SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Положение в занятости by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Положение в занятости","Наименование территориальной единицы",
"Лицо","Не указавшие положение в занятости","Города краевого подчинения Краснодарского края",0
"Лицо","Не указавшие положение в занятости","г. Краснодар",434167
"Лицо","Не указавшие положение в занятости","Сельские населенные пункты, подчиненные администрации г. Анапа",34181
"Лицо","Не указавшие положение в занятости","г. Армавир",126812
"Лицо","Не указавшие положение в занятости","г. Белореченск",37752
"Лицо","Не указавшие положение в занятости","г. Геленджик",48087
"Лицо","Не указавшие положение в занятости","г. Горячий Ключ",31507
"Лицо","Не указавшие положение в занятости","г. Ейск",53169
"Лицо","Не указавшие положение в занятости","г. Кропоткин",47268
"Лицо","Не указавшие положение в занятости","г. Крымск",33413
"Лицо","Не указавшие положение в занятости","Сельские населенные пункты, подчиненные администрации г. Лабинска",40326
"Лицо","Не указавшие положение в занятости","г. Новороссийск",145853
"Лицо","Не указавшие положение в занятости","г. Славянск-на-Кубани",38280
"Лицо","Не указавшие положение в занятости","г. Сочи",220009
"Лицо","Не указавшие положение в занятости","г. Тихорецк",37991
"Лицо","Не указавшие положение в занятости","г. Туапсе",36615
"Лицо","Работающие по найму","Краснодарский край",0
"Лицо","Работающие по найму","Районы Краснодарского края",0
"Лицо","Работающие по найму","Абинский район",27330
"Лицо","Работающие по найму","Анапский район",25016
"Лицо","Работающие по найму","Апшеронский район",26667
"Лицо","Работающие по найму","Белоглинский район",11079
"Лицо","Работающие по найму","Белореченский район",9657
"Лицо","Работающие по найму","Брюховецкий район",16905
"Лицо","Работающие по найму","Выселковский район",21956
"Лицо","Работающие по найму","Гулькевичский район",34157
"Лицо","Работающие по найму","Динской район",41728
"Лицо","Работающие по найму","Ейский район",16042
"Лицо","Работающие по найму","Кавказский район",14137
"Лицо","Работающие по найму","Калининский район",16970
"Лицо","Работающие по найму","Каневский район",36851
"Лицо","Работающие по найму","Кореновский район",28108
"Лицо","Работающие по найму","Красноармейский район",34891
"Лицо","Работающие по найму","Крыловский район",11205
"Лицо","Работающие по найму","Крымский район",19688
"Лицо","Работающие по найму","Курганинский район",28539
"Лицо","Работающие по найму","Кущевский район",23871
"Лицо","Работающие по найму","Лабинский район",9895
"Лицо","Работающие по найму","Ленинградский район",25224
"Лицо","Работающие по найму","Мостовский район",22949
"Лицо","Работающие по найму","Новокубанский район",30578
"Лицо","Работающие по найму","Новопокровский район",15835
"Лицо","Работающие по найму","Отрадненский район",19091
"Лицо","Работающие по найму","Павловский район",25005
"Лицо","Работающие по найму","Приморско-Ахтарский район",19722
"Лицо","Работающие по найму","Северский район",37410
"Лицо","Работающие по найму","Славянский район",22600
"Лицо","Работающие по найму","Староминский район",15894
"Лицо","Работающие по найму","Тбилисский район",16730
"Лицо","Работающие по найму","Темрюкский район",40094
"Лицо","Работающие по найму","Тимашевский район",39121
"Лицо","Работающие по найму","Тихорецкий район",20258
"Лицо","Работающие по найму","Туапсинский район",22295
"Лицо","Работающие по найму","Успенский район",13256
"Лицо","Работающие по найму","Усть-Лабинский район",34187
"Лицо","Работающие по найму","Щербиновский район",13604
"Лицо","Работающие по найму","Города краевого подчинения Краснодарского края",0
"Лицо","Работающие по найму","г. Краснодар",310988
"Лицо","Работающие по найму","Сельские населенные пункты, подчиненные администрации г. Анапа",22127
"Лицо","Работающие по найму","г. Армавир",70613
"Лицо","Работающие по найму","г. Белореченск",20518
"Лицо","Работающие по найму","г. Геленджик",33207
"Лицо","Работающие по найму","г. Горячий Ключ",17718
"Лицо","Работающие по найму","г. Ейск",35748
"Лицо","Работающие по найму","г. Кропоткин",27074
"Лицо","Работающие по найму","г. Крымск",20709
"Лицо","Работающие по найму","Сельские населенные пункты, подчиненные администрации г. Лабинска",18724
"Лицо","Работающие по найму","г. Новороссийск",119929
"Лицо","Работающие по найму","г. Славянск-на-Кубани",22307
"Лицо","Работающие по найму","г. Сочи",160957
"Лицо","Работающие по найму","г. Тихорецк",26184
"Лицо","Работающие по найму","г. Туапсе",25564
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Краснодарский край",0
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Районы Краснодарского края",0
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Абинский район",127
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Анапский район",89
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Апшеронский район",122
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Белоглинский район",30
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Белореченский район",28
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Брюховецкий район",92
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Выселковский район",61
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Гулькевичский район",163
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Динской район",145
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Ейский район",26
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Кавказский район",44
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Калининский район",28
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Каневский район",124
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Кореновский район",91
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Красноармейский район",137
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Крыловский район",56
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Крымский район",69
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Курганинский район",106
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Кущевский район",55
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Лабинский район",25
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Ленинградский район",80
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Мостовский район",60
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Новокубанский район",45
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Новопокровский район",60
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Отрадненский район",92
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Павловский район",48
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Приморско-Ахтарский район",48
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Северский район",127
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Славянский район",26
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Староминский район",35
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Тбилисский район",57
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Темрюкский район",135
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Тимашевский район",124
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Тихорецкий район",44
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Туапсинский район",109
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Успенский район",34
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Усть-Лабинский район",125
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Щербиновский район",34
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Города краевого подчинения Краснодарского края",0
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Краснодар",924
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Сельские населенные пункты, подчиненные администрации г. Анапа",78
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Армавир",147
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Белореченск",47
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Геленджик",98
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Горячий Ключ",55
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Ейск",104
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Кропоткин",71
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Крымск",47
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","Сельские населенные пункты, подчиненные администрации г. Лабинска",133
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Новороссийск",320
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Славянск-на-Кубани",128
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Сочи",389
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Тихорецк",52
"Лицо","Работающие не по найму - не указавшие привлечение наемных работников","г. Туапсе",26
"Лицо","Работающие не по найму с привлечением наемных работников","Краснодарский край",0
"Лицо","Работающие не по найму с привлечением наемных работников","Районы Краснодарского края",0
"Лицо","Работающие не по найму с привлечением наемных работников","Абинский район",543
"Лицо","Работающие не по найму с привлечением наемных работников","Анапский район",383
"Лицо","Работающие не по найму с привлечением наемных работников","Апшеронский район",640
"Лицо","Работающие не по найму с привлечением наемных работников","Белоглинский район",182
"Лицо","Работающие не по найму с привлечением наемных работников","Белореченский район",120
"Лицо","Работающие не по найму с привлечением наемных работников","Брюховецкий район",308
"Лицо","Работающие не по найму с привлечением наемных работников","Выселковский район",270
"Лицо","Работающие не по найму с привлечением наемных работников","Гулькевичский район",518
"Лицо","Работающие не по найму с привлечением наемных работников","Динской район",605
"Лицо","Работающие не по найму с привлечением наемных работников","Ейский район",122
"Лицо","Работающие не по найму с привлечением наемных работников","Кавказский район",191
"Лицо","Работающие не по найму с привлечением наемных работников","Калининский район",160
"Лицо","Работающие не по найму с привлечением наемных работников","Каневский район",399
"Лицо","Работающие не по найму с привлечением наемных работников","Кореновский район",337
"Лицо","Работающие не по найму с привлечением наемных работников","Красноармейский район",463
"Лицо","Работающие не по найму с привлечением наемных работников","Крыловский район",160
"Лицо","Работающие не по найму с привлечением наемных работников","Крымский район",272
"Лицо","Работающие не по найму с привлечением наемных работников","Курганинский район",589
"Лицо","Работающие не по найму с привлечением наемных работников","Кущевский район",460
"Лицо","Работающие не по найму с привлечением наемных работников","Лабинский район",114
"Лицо","Работающие не по найму с привлечением наемных работников","Ленинградский район",329
"Лицо","Работающие не по найму с привлечением наемных работников","Мостовский район",342
"Лицо","Работающие не по найму с привлечением наемных работников","Новокубанский район",409
"Лицо","Работающие не по найму с привлечением наемных работников","Новопокровский район",335
"Лицо","Работающие не по найму с привлечением наемных работников","Отрадненский район",330
"Лицо","Работающие не по найму с привлечением наемных работников","Павловский район",354
"Лицо","Работающие не по найму с привлечением наемных работников","Приморско-Ахтарский район",316
"Лицо","Работающие не по найму с привлечением наемных работников","Северский район",512
"Лицо","Работающие не по найму с привлечением наемных работников","Славянский район",175
"Лицо","Работающие не по найму с привлечением наемных работников","Староминский район",176
"Лицо","Работающие не по найму с привлечением наемных работников","Тбилисский район",243
"Лицо","Работающие не по найму с привлечением наемных работников","Темрюкский район",684
"Лицо","Работающие не по найму с привлечением наемных работников","Тимашевский район",707
"Лицо","Работающие не по найму с привлечением наемных работников","Тихорецкий район",197
"Лицо","Работающие не по найму с привлечением наемных работников","Туапсинский район",417
"Лицо","Работающие не по найму с привлечением наемных работников","Успенский район",154
"Лицо","Работающие не по найму с привлечением наемных работников","Усть-Лабинский район",539
"Лицо","Работающие не по найму с привлечением наемных работников","Щербиновский район",147
"Лицо","Работающие не по найму с привлечением наемных работников","Города краевого подчинения Краснодарского края",0
"Лицо","Работающие не по найму с привлечением наемных работников","г. Краснодар",8382
"Лицо","Работающие не по найму с привлечением наемных работников","Сельские населенные пункты, подчиненные администрации г. Анапа",938
"Лицо","Работающие не по найму с привлечением наемных работников","г. Армавир",1837
"Лицо","Работающие не по найму с привлечением наемных работников","г. Белореченск",410
"Лицо","Работающие не по найму с привлечением наемных работников","г. Геленджик",844
"Лицо","Работающие не по найму с привлечением наемных работников","г. Горячий Ключ",380
"Лицо","Работающие не по найму с привлечением наемных работников","г. Ейск",832
"Лицо","Работающие не по найму с привлечением наемных работников","г. Кропоткин",615
"Лицо","Работающие не по найму с привлечением наемных работников","г. Крымск",458
"Лицо","Работающие не по найму с привлечением наемных работников","Сельские населенные пункты, подчиненные администрации г. Лабинска",446
"Лицо","Работающие не по найму с привлечением наемных работников","г. Новороссийск",2417
"Лицо","Работающие не по найму с привлечением наемных работников","г. Славянск-на-Кубани",575
"Лицо","Работающие не по найму с привлечением наемных работников","г. Сочи",4314
"Лицо","Работающие не по найму с привлечением наемных работников","г. Тихорецк",464
"Лицо","Работающие не по найму с привлечением наемных работников","г. Туапсе",607
"Лицо","Работающие не по найму без привлечения наемных работников","Краснодарский край",0
"Лицо","Работающие не по найму без привлечения наемных работников","Районы Краснодарского края",0
"Лицо","Работающие не по найму без привлечения наемных работников","Абинский район",1746
"Лицо","Работающие не по найму без привлечения наемных работников","Анапский район",1379
"Лицо","Работающие не по найму без привлечения наемных работников","Апшеронский район",2355
"Лицо","Работающие не по найму без привлечения наемных работников","Белоглинский район",649
"Лицо","Работающие не по найму без привлечения наемных работников","Белореченский район",639
"Лицо","Работающие не по найму без привлечения наемных работников","Брюховецкий район",3603
"Лицо","Работающие не по найму без привлечения наемных работников","Выселковский район",854
"Лицо","Работающие не по найму без привлечения наемных работников","Гулькевичский район",1817
"Лицо","Работающие не по найму без привлечения наемных работников","Динской район",2048
"Лицо","Работающие не по найму без привлечения наемных работников","Ейский район",625
"Лицо","Работающие не по найму без привлечения наемных работников","Кавказский район",612
"Лицо","Работающие не по найму без привлечения наемных работников","Калининский район",852
"Лицо","Работающие не по найму без привлечения наемных работников","Каневский район",1425
"Лицо","Работающие не по найму без привлечения наемных работников","Кореновский район",1510
"Лицо","Работающие не по найму без привлечения наемных работников","Красноармейский район",1931
"Лицо","Работающие не по найму без привлечения наемных работников","Крыловский район",958
"Лицо","Работающие не по найму без привлечения наемных работников","Крымский район",1431
"Лицо","Работающие не по найму без привлечения наемных работников","Курганинский район",3040
"Лицо","Работающие не по найму без привлечения наемных работников","Кущевский район",1127
"Лицо","Работающие не по найму без привлечения наемных работников","Лабинский район",376
"Лицо","Работающие не по найму без привлечения наемных работников","Ленинградский район",1210
"Лицо","Работающие не по найму без привлечения наемных работников","Мостовский район",1188
"Лицо","Работающие не по найму без привлечения наемных работников","Новокубанский район",1298
"Лицо","Работающие не по найму без привлечения наемных работников","Новопокровский район",1368
"Лицо","Работающие не по найму без привлечения наемных работников","Отрадненский район",1081
"Лицо","Работающие не по найму без привлечения наемных работников","Павловский район",1200
"Лицо","Работающие не по найму без привлечения наемных работников","Приморско-Ахтарский район",1037
"Лицо","Работающие не по найму без привлечения наемных работников","Северский район",1368
"Лицо","Работающие не по найму без привлечения наемных работников","Славянский район",784
"Лицо","Работающие не по найму без привлечения наемных работников","Староминский район",815
"Лицо","Работающие не по найму без привлечения наемных работников","Тбилисский район",738
"Лицо","Работающие не по найму без привлечения наемных работников","Темрюкский район",1993
"Лицо","Работающие не по найму без привлечения наемных работников","Тимашевский район",2305
"Лицо","Работающие не по найму без привлечения наемных работников","Тихорецкий район",663
"Лицо","Работающие не по найму без привлечения наемных работников","Туапсинский район",972
"Лицо","Работающие не по найму без привлечения наемных работников","Успенский район",508
"Лицо","Работающие не по найму без привлечения наемных работников","Усть-Лабинский район",1776
"Лицо","Работающие не по найму без привлечения наемных работников","Щербиновский район",808
"Лицо","Работающие не по найму без привлечения наемных работников","Города краевого подчинения Краснодарского края",0
"Лицо","Работающие не по найму без привлечения наемных работников","г. Краснодар",16054
"Лицо","Работающие не по найму без привлечения наемных работников","Сельские населенные пункты, подчиненные администрации г. Анапа",1634
"Лицо","Работающие не по найму без привлечения наемных работников","г. Армавир",6166
"Лицо","Работающие не по найму без привлечения наемных работников","г. Белореченск",1315
"Лицо","Работающие не по найму без привлечения наемных работников","г. Геленджик",1765
"Лицо","Работающие не по найму без привлечения наемных работников","г. Горячий Ключ",809
"Лицо","Работающие не по найму без привлечения наемных работников","г. Ейск",2580
"Лицо","Работающие не по найму без привлечения наемных работников","г. Кропоткин",2023
"Лицо","Работающие не по найму без привлечения наемных работников","г. Крымск",1734
"Лицо","Работающие не по найму без привлечения наемных работников","Сельские населенные пункты, подчиненные администрации г. Лабинска",2518
"Лицо","Работающие не по найму без привлечения наемных работников","г. Новороссийск",5085
"Лицо","Работающие не по найму без привлечения наемных работников","г. Славянск-на-Кубани",2037
"Лицо","Работающие не по найму без привлечения наемных работников","г. Сочи",7377
"Лицо","Работающие не по найму без привлечения наемных работников","г. Тихорецк",1170
"Лицо","Работающие не по найму без привлечения наемных работников","г. Туапсе",853
"Лицо","Работающие не по найму - иное","Краснодарский край",0
"Лицо","Работающие не по найму - иное","Районы Краснодарского края",0
"Лицо","Работающие не по найму - иное","Абинский район",86
"Лицо","Работающие не по найму - иное","Анапский район",53
"Лицо","Работающие не по найму - иное","Апшеронский район",113
"Лицо","Работающие не по найму - иное","Белоглинский район",60
"Лицо","Работающие не по найму - иное","Белореченский район",34
"Лицо","Работающие не по найму - иное","Брюховецкий район",522
"Лицо","Работающие не по найму - иное","Выселковский район",44
"Лицо","Работающие не по найму - иное","Гулькевичский район",114
"Лицо","Работающие не по найму - иное","Динской район",283
"Лицо","Работающие не по найму - иное","Ейский район",71
"Лицо","Работающие не по найму - иное","Кавказский район",51
"Лицо","Работающие не по найму - иное","Калининский район",50
"Лицо","Работающие не по найму - иное","Каневский район",101
"Лицо","Работающие не по найму - иное","Кореновский район",106
"Лицо","Работающие не по найму - иное","Красноармейский район",335
"Лицо","Работающие не по найму - иное","Крыловский район",77
"Лицо","Работающие не по найму - иное","Крымский район",33
"Лицо","Работающие не по найму - иное","Курганинский район",322
"Лицо","Работающие не по найму - иное","Кущевский район",62
"Лицо","Работающие не по найму - иное","Лабинский район",39
"Лицо","Работающие не по найму - иное","Ленинградский район",45
"Лицо","Работающие не по найму - иное","Мостовский район",31
"Лицо","Работающие не по найму - иное","Новокубанский район",63
"Лицо","Работающие не по найму - иное","Новопокровский район",15
"Лицо","Работающие не по найму - иное","Отрадненский район",118
"Лицо","Работающие не по найму - иное","Павловский район",32
"Лицо","Работающие не по найму - иное","Приморско-Ахтарский район",82
"Лицо","Работающие не по найму - иное","Северский район",75
"Лицо","Работающие не по найму - иное","Славянский район",47
"Лицо","Работающие не по найму - иное","Староминский район",24
"Лицо","Работающие не по найму - иное","Тбилисский район",12
"Лицо","Работающие не по найму - иное","Темрюкский район",131
"Лицо","Работающие не по найму - иное","Тимашевский район",84
"Лицо","Работающие не по найму - иное","Тихорецкий район",29
"Лицо","Работающие не по найму - иное","Туапсинский район",177
"Лицо","Работающие не по найму - иное","Успенский район",9
"Лицо","Работающие не по найму - иное","Усть-Лабинский район",138
"Лицо","Работающие не по найму - иное","Щербиновский район",38
"Лицо","Работающие не по найму - иное","Города краевого подчинения Краснодарского края",0
"Лицо","Работающие не по найму - иное","г. Краснодар",1730
"Лицо","Работающие не по найму - иное","Сельские населенные пункты, подчиненные администрации г. Анапа",196
"Лицо","Работающие не по найму - иное","г. Армавир",312
"Лицо","Работающие не по найму - иное","г. Белореченск",53
"Лицо","Работающие не по найму - иное","г. Геленджик",91
"Лицо","Работающие не по найму - иное","г. Горячий Ключ",59
"Лицо","Работающие не по найму - иное","г. Ейск",127
"Лицо","Работающие не по найму - иное","г. Кропоткин",107
"Лицо","Работающие не по найму - иное","г. Крымск",32
"Лицо","Работающие не по найму - иное","Сельские населенные пункты, подчиненные администрации г. Лабинска",166
"Лицо","Работающие не по найму - иное","г. Новороссийск",440
"Лицо","Работающие не по найму - иное","г. Славянск-на-Кубани",133
"Лицо","Работающие не по найму - иное","г. Сочи",675
"Лицо","Работающие не по найму - иное","г. Тихорецк",66
"Лицо","Работающие не по найму - иное","г. Туапсе",69


"INFO","К значениям в таблице был применен  механизм защиты конфиденциальной информации."




(c) Copyright Space-Time Research 2013
