SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Сергиево-Посадский район","Лицо","Работающие не по найму с привлечением наемных работников",1035
"Сергиево-Посадский район","Лицо","Работающие не по найму без привлечения наемных работников",1839
"Сергиево-Посадский район","Лицо","Работающие не по найму - иное",345
"Зарайский район","Лицо","Не указавшие положение в занятости",23220
"Зарайский район","Лицо","Работающие по найму",17828
"Зарайский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",20
"Зарайский район","Лицо","Работающие не по найму с привлечением наемных работников",212
"Зарайский район","Лицо","Работающие не по найму без привлечения наемных работников",655
"Зарайский район","Лицо","Работающие не по найму - иное",14
"Истринский район","Лицо","Не указавшие положение в занятости",57556
"Истринский район","Лицо","Работающие по найму",55851
"Истринский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",86
"Истринский район","Лицо","Работающие не по найму с привлечением наемных работников",598
"Истринский район","Лицо","Работающие не по найму без привлечения наемных работников",947
"Истринский район","Лицо","Работающие не по найму - иное",152
"Каширский район","Лицо","Не указавшие положение в занятости",35880
"Каширский район","Лицо","Работающие по найму",32476
"Каширский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",126
"Каширский район","Лицо","Работающие не по найму с привлечением наемных работников",295
"Каширский район","Лицо","Работающие не по найму без привлечения наемных работников",1109
"Каширский район","Лицо","Работающие не по найму - иное",110
"Клинский район","Лицо","Не указавшие положение в занятости",70162
"Клинский район","Лицо","Работающие по найму",54001
"Клинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",131
"Клинский район","Лицо","Работающие не по найму с привлечением наемных работников",832
"Клинский район","Лицо","Работающие не по найму без привлечения наемных работников",1556
"Клинский район","Лицо","Работающие не по найму - иное",198
"Коломенский район","Лицо","Не указавшие положение в занятости",21893
"Коломенский район","Лицо","Работающие по найму",17842
"Коломенский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",21
"Коломенский район","Лицо","Работающие не по найму с привлечением наемных работников",97
"Коломенский район","Лицо","Работающие не по найму без привлечения наемных работников",239
"Коломенский район","Лицо","Работающие не по найму - иное",19
"Красногорский район","Лицо","Не указавшие положение в занятости",79628
"Красногорский район","Лицо","Работающие по найму",65888
"Красногорский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",252
"Красногорский район","Лицо","Работающие не по найму с привлечением наемных работников",832
"Красногорский район","Лицо","Работающие не по найму без привлечения наемных работников",1222
"Красногорский район","Лицо","Работающие не по найму - иное",196
"Ленинский район","Лицо","Не указавшие положение в занятости",69078
"Ленинский район","Лицо","Работающие по найму",70434
"Ленинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",110
"Ленинский район","Лицо","Работающие не по найму с привлечением наемных работников",702
"Ленинский район","Лицо","Работающие не по найму без привлечения наемных работников",1069
"Ленинский район","Лицо","Работающие не по найму - иное",144
"Лотошинский район","Лицо","Не указавшие положение в занятости",10197
"Лотошинский район","Лицо","Работающие по найму",7433
"Лотошинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",43
"Лотошинский район","Лицо","Работающие не по найму с привлечением наемных работников",63
"Лотошинский район","Лицо","Работающие не по найму без привлечения наемных работников",174
"Лотошинский район","Лицо","Работающие не по найму - иное",24
"Луховицкий район","Лицо","Не указавшие положение в занятости",33516
"Луховицкий район","Лицо","Работающие по найму",28319
"Луховицкий район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",21
"Луховицкий район","Лицо","Работающие не по найму с привлечением наемных работников",234
"Луховицкий район","Лицо","Работающие не по найму без привлечения наемных работников",333
"Луховицкий район","Лицо","Работающие не по найму - иное",43
"Люберецкий район","Лицо","Не указавшие положение в занятости",132564
"Люберецкий район","Лицо","Работающие по найму",119532
"Люберецкий район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",223
"Люберецкий район","Лицо","Работающие не по найму с привлечением наемных работников",970
"Люберецкий район","Лицо","Работающие не по найму без привлечения наемных работников",1443
"Люберецкий район","Лицо","Работающие не по найму - иное",234
"Можайский район","Лицо","Не указавшие положение в занятости",36265
"Можайский район","Лицо","Работающие по найму",28882
"Можайский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",135
"Можайский район","Лицо","Работающие не по найму с привлечением наемных работников",310
"Можайский район","Лицо","Работающие не по найму без привлечения наемных работников",549
"Можайский район","Лицо","Работающие не по найму - иное",101
"Мытищинский район","Лицо","Не указавшие положение в занятости",94261
"Мытищинский район","Лицо","Работающие по найму",86091
"Мытищинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",281
"Мытищинский район","Лицо","Работающие не по найму с привлечением наемных работников",1416
"Мытищинский район","Лицо","Работающие не по найму без привлечения наемных работников",2218
"Мытищинский район","Лицо","Работающие не по найму - иное",479
"Наро-Фоминский район","Лицо","Не указавшие положение в занятости",90711
"Наро-Фоминский район","Лицо","Работающие по найму",83786
"Наро-Фоминский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",213
"Наро-Фоминский район","Лицо","Работающие не по найму с привлечением наемных работников",800
"Наро-Фоминский район","Лицо","Работающие не по найму без привлечения наемных работников",1579
"Наро-Фоминский район","Лицо","Работающие не по найму - иное",349
"Ногинский район","Лицо","Не указавшие положение в занятости",120421
"Ногинский район","Лицо","Работающие по найму",105248
"Ногинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",189
"Ногинский район","Лицо","Работающие не по найму с привлечением наемных работников",917
"Ногинский район","Лицо","Работающие не по найму без привлечения наемных работников",1500
"Ногинский район","Лицо","Работающие не по найму - иное",307
"Одинцовский район","Лицо","Не указавшие положение в занятости",135502
"Одинцовский район","Лицо","Работающие по найму",137694
"Одинцовский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",219
"Одинцовский район","Лицо","Работающие не по найму с привлечением наемных работников",1168
"Одинцовский район","Лицо","Работающие не по найму без привлечения наемных работников",1753
"Одинцовский район","Лицо","Работающие не по найму - иное",574
"Озёрский район","Лицо","Не указавшие положение в занятости",19804
"Озёрский район","Лицо","Работающие по найму",15386
"Озёрский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",27
"Озёрский район","Лицо","Работающие не по найму с привлечением наемных работников",167
"Озёрский район","Лицо","Работающие не по найму без привлечения наемных работников",194
"Озёрский район","Лицо","Работающие не по найму - иное",28
"Орехово-Зуевский район","Лицо","Не указавшие положение в занятости",63957
"Орехово-Зуевский район","Лицо","Работающие по найму",53399
"Орехово-Зуевский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",102
"Орехово-Зуевский район","Лицо","Работающие не по найму с привлечением наемных работников",340
"Орехово-Зуевский район","Лицо","Работающие не по найму без привлечения наемных работников",858
"Орехово-Зуевский район","Лицо","Работающие не по найму - иное",91
"Павлово-Посадский район","Лицо","Не указавшие положение в занятости",52824
"Павлово-Посадский район","Лицо","Работающие по найму",47929
"Павлово-Посадский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",75
"Павлово-Посадский район","Лицо","Работающие не по найму с привлечением наемных работников",425
"Павлово-Посадский район","Лицо","Работающие не по найму без привлечения наемных работников",675
"Павлово-Посадский район","Лицо","Работающие не по найму - иное",144
"Подольский район","Лицо","Не указавшие положение в занятости",38251
"Подольский район","Лицо","Работающие по найму",37816
"Подольский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",75
"Подольский район","Лицо","Работающие не по найму с привлечением наемных работников",344
"Подольский район","Лицо","Работающие не по найму без привлечения наемных работников",363
"Подольский район","Лицо","Работающие не по найму - иное",99
"Пушкинский район","Лицо","Не указавшие положение в занятости",81727
"Пушкинский район","Лицо","Работающие по найму",76261
"Пушкинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",110
"Пушкинский район","Лицо","Работающие не по найму с привлечением наемных работников",862
"Пушкинский район","Лицо","Работающие не по найму без привлечения наемных работников",1388
"Пушкинский район","Лицо","Работающие не по найму - иное",135
"Раменский район","Лицо","Не указавшие положение в занятости",111243
"Раменский район","Лицо","Работающие по найму",100652
"Раменский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",497
"Раменский район","Лицо","Работающие не по найму с привлечением наемных работников",978
"Раменский район","Лицо","Работающие не по найму без привлечения наемных работников",2131
"Раменский район","Лицо","Работающие не по найму - иное",424
"Рузский район","Лицо","Не указавшие положение в занятости",33790
"Рузский район","Лицо","Работающие по найму",28067
"Рузский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",72
"Рузский район","Лицо","Работающие не по найму с привлечением наемных работников",373
"Рузский район","Лицо","Работающие не по найму без привлечения наемных работников",508
"Рузский район","Лицо","Работающие не по найму - иное",66
"Серебряно-Прудский район","Лицо","Не указавшие положение в занятости",13553
"Серебряно-Прудский район","Лицо","Работающие по найму",10627
"Серебряно-Прудский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",22
"Серебряно-Прудский район","Лицо","Работающие не по найму с привлечением наемных работников",110
"Серебряно-Прудский район","Лицо","Работающие не по найму без привлечения наемных работников",312
"Серебряно-Прудский район","Лицо","Работающие не по найму - иное",8
"Серпуховский район","Лицо","Не указавшие положение в занятости",17968
"Серпуховский район","Лицо","Работающие по найму",14945
"Серпуховский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",15
"Серпуховский район","Лицо","Работающие не по найму с привлечением наемных работников",104
"Серпуховский район","Лицо","Работающие не по найму без привлечения наемных работников",243
"Серпуховский район","Лицо","Работающие не по найму - иное",42
"Солнечногорский район","Лицо","Не указавшие положение в занятости",61712
"Солнечногорский район","Лицо","Работающие по найму",57866
"Солнечногорский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",250
"Солнечногорский район","Лицо","Работающие не по найму с привлечением наемных работников",678
"Солнечногорский район","Лицо","Работающие не по найму без привлечения наемных работников",1154
"Солнечногорский район","Лицо","Работающие не по найму - иное",192
"Ступинский район","Лицо","Не указавшие положение в занятости",55680
"Ступинский район","Лицо","Работающие по найму",54503
"Ступинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",98
"Ступинский район","Лицо","Работающие не по найму с привлечением наемных работников",431
"Ступинский район","Лицо","Работающие не по найму без привлечения наемных работников",877
"Ступинский район","Лицо","Работающие не по найму - иное",104
"Талдомский район","Лицо","Не указавшие положение в занятости",25408
"Талдомский район","Лицо","Работающие по найму",19995
"Талдомский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",39
"Талдомский район","Лицо","Работающие не по найму с привлечением наемных работников",228
"Талдомский район","Лицо","Работающие не по найму без привлечения наемных работников",499
"Талдомский район","Лицо","Работающие не по найму - иное",69
"Химкинский район","Лицо","Не указавшие положение в занятости",87672
"Химкинский район","Лицо","Работающие по найму",83416
"Химкинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",141
"Химкинский район","Лицо","Работающие не по найму с привлечением наемных работников",1064
"Химкинский район","Лицо","Работающие не по найму без привлечения наемных работников",1781
"Химкинский район","Лицо","Работающие не по найму - иное",187
"Чеховский район","Лицо","Не указавшие положение в занятости",52667
"Чеховский район","Лицо","Работающие по найму",50305
"Чеховский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",99
"Чеховский район","Лицо","Работающие не по найму с привлечением наемных работников",376
"Чеховский район","Лицо","Работающие не по найму без привлечения наемных работников",852
"Чеховский район","Лицо","Работающие не по найму - иное",243
"Шатурский район","Лицо","Не указавшие положение в занятости",39197
"Шатурский район","Лицо","Работающие по найму",30419
"Шатурский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",38
"Шатурский район","Лицо","Работающие не по найму с привлечением наемных работников",214
"Шатурский район","Лицо","Работающие не по найму без привлечения наемных работников",417
"Шатурский район","Лицо","Работающие не по найму - иное",186
"Шаховской район","Лицо","Не указавшие положение в занятости",13262
"Шаховской район","Лицо","Работающие по найму",9397
"Шаховской район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",17
"Шаховской район","Лицо","Работающие не по найму с привлечением наемных работников",175
"Шаховской район","Лицо","Работающие не по найму без привлечения наемных работников",139
"Шаховской район","Лицо","Работающие не по найму - иное",12
"Щёлковский район","Лицо","Не указавшие положение в занятости",106645
"Щёлковский район","Лицо","Работающие по найму",91608
"Щёлковский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",546
"Щёлковский район","Лицо","Работающие не по найму с привлечением наемных работников",692
"Щёлковский район","Лицо","Работающие не по найму без привлечения наемных работников",1297
"Щёлковский район","Лицо","Работающие не по найму - иное",378
"Города областного подчинения Московской области","Лицо","Не указавшие положение в занятости",0
"Города областного подчинения Московской области","Лицо","Работающие по найму",0
"Города областного подчинения Московской области","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Города областного подчинения Московской области","Лицо","Работающие не по найму с привлечением наемных работников",0
"Города областного подчинения Московской области","Лицо","Работающие не по найму без привлечения наемных работников",0
"Города областного подчинения Московской области","Лицо","Работающие не по найму - иное",0
"г. Бронницы","Лицо","Не указавшие положение в занятости",9111
"г. Бронницы","Лицо","Работающие по найму",8830
"г. Бронницы","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",6
"г. Бронницы","Лицо","Работающие не по найму с привлечением наемных работников",97
"г. Бронницы","Лицо","Работающие не по найму без привлечения наемных работников",167
"г. Бронницы","Лицо","Работающие не по найму - иное",23
"г. Дзержинский","Лицо","Не указавшие положение в занятости",20277
"г. Дзержинский","Лицо","Работающие по найму",20305
"г. Дзержинский","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",29
"г. Дзержинский","Лицо","Работающие не по найму с привлечением наемных работников",218
"г. Дзержинский","Лицо","Работающие не по найму без привлечения наемных работников",520
"г. Дзержинский","Лицо","Работающие не по найму - иное",57
"г. Долгопрудный","Лицо","Не указавшие положение в занятости",41198
"г. Долгопрудный","Лицо","Работающие по найму",32742
"г. Долгопрудный","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",67
"г. Долгопрудный","Лицо","Работающие не по найму с привлечением наемных работников",386
"г. Долгопрудный","Лицо","Работающие не по найму без привлечения наемных работников",517
"г. Долгопрудный","Лицо","Работающие не по найму - иное",42
"г. Дубна","Лицо","Не указавшие положение в занятости",28991
"г. Дубна","Лицо","Работающие по найму",30028
"г. Дубна","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",28
"г. Дубна","Лицо","Работающие не по найму с привлечением наемных работников",629
"г. Дубна","Лицо","Работающие не по найму без привлечения наемных работников",1077
"г. Дубна","Лицо","Работающие не по найму - иное",124
"г. Железнодорожный","Лицо","Не указавшие положение в занятости",58056
"г. Железнодорожный","Лицо","Работающие по найму",50513
"г. Железнодорожный","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",171
"г. Железнодорожный","Лицо","Работающие не по найму с привлечением наемных работников",494
"г. Железнодорожный","Лицо","Работающие не по найму без привлечения наемных работников",1044
"г. Железнодорожный","Лицо","Работающие не по найму - иное",179
"г. Жуковский","Лицо","Не указавшие положение в занятости",49081
"г. Жуковский","Лицо","Работающие по найму",49669
"г. Жуковский","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",99
"г. Жуковский","Лицо","Работающие не по найму с привлечением наемных работников",544
"г. Жуковский","Лицо","Работающие не по найму без привлечения наемных работников",744
"г. Жуковский","Лицо","Работающие не по найму - иное",165
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Не указавшие положение в занятости",7583
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Работающие по найму",6304
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",16
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Работающие не по найму с привлечением наемных работников",64
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Работающие не по найму без привлечения наемных работников",86
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Работающие не по найму - иное",26
"г. Ивантеевка","Лицо","Не указавшие положение в занятости",26387
"г. Ивантеевка","Лицо","Работающие по найму",24260
"г. Ивантеевка","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",127
"г. Ивантеевка","Лицо","Работающие не по найму с привлечением наемных работников",250
"г. Ивантеевка","Лицо","Работающие не по найму без привлечения наемных работников",299
"г. Ивантеевка","Лицо","Работающие не по найму - иное",78
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Не указавшие положение в занятости",87851
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Работающие по найму",79659
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",193
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Работающие не по найму с привлечением наемных работников",1178
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Работающие не по найму без привлечения наемных работников",1425
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Работающие не по найму - иное",205
"г. Климовск","Лицо","Не указавшие положение в занятости",26659
"г. Климовск","Лицо","Работающие по найму",27350
"г. Климовск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",50
"г. Климовск","Лицо","Работающие не по найму с привлечением наемных работников",219
"г. Климовск","Лицо","Работающие не по найму без привлечения наемных работников",251
"г. Климовск","Лицо","Работающие не по найму - иное",49
"г. Коломна","Лицо","Не указавшие положение в занятости",77342
"г. Коломна","Лицо","Работающие по найму",64877
"г. Коломна","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",99
"г. Коломна","Лицо","Работающие не по найму с привлечением наемных работников",955
"г. Коломна","Лицо","Работающие не по найму без привлечения наемных работников",2311
"г. Коломна","Лицо","Работающие не по найму - иное",153
"г. Лобня","Лицо","Не указавшие положение в занятости",32426
"г. Лобня","Лицо","Работающие по найму",30697
"г. Лобня","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",54
"г. Лобня","Лицо","Работающие не по найму с привлечением наемных работников",313
"г. Лобня","Лицо","Работающие не по найму без привлечения наемных работников",931
"г. Лобня","Лицо","Работающие не по найму - иное",183
"г. Лыткарино","Лицо","Не указавшие положение в занятости",24974
"г. Лыткарино","Лицо","Работающие по найму",25019
"г. Лыткарино","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",49
"г. Лыткарино","Лицо","Работающие не по найму с привлечением наемных работников",240
"г. Лыткарино","Лицо","Работающие не по найму без привлечения наемных работников",389
"г. Лыткарино","Лицо","Работающие не по найму - иное",101
"г. Красноармейск","Лицо","Не указавшие положение в занятости",12552
"г. Красноармейск","Лицо","Работающие по найму",12947
"г. Красноармейск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"г. Красноармейск","Лицо","Работающие не по найму с привлечением наемных работников",170
"г. Красноармейск","Лицо","Работающие не по найму без привлечения наемных работников",186
"г. Красноармейск","Лицо","Работающие не по найму - иное",25
"г. Орехово-Зуево","Лицо","Не указавшие положение в занятости",65034
"г. Орехово-Зуево","Лицо","Работающие по найму",53393
"г. Орехово-Зуево","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",109
"г. Орехово-Зуево","Лицо","Работающие не по найму с привлечением наемных работников",868
"г. Орехово-Зуево","Лицо","Работающие не по найму без привлечения наемных работников",1322
"г. Орехово-Зуево","Лицо","Работающие не по найму - иное",317
"г. Подольск","Лицо","Не указавшие положение в занятости",96068
"г. Подольск","Лицо","Работающие по найму",81653
"г. Подольск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",255
"г. Подольск","Лицо","Работающие не по найму с привлечением наемных работников",913
"г. Подольск","Лицо","Работающие не по найму без привлечения наемных работников",1533
"г. Подольск","Лицо","Работающие не по найму - иное",344
"г. Пущино","Лицо","Не указавшие положение в занятости",9941
"г. Пущино","Лицо","Работающие по найму",9691
"г. Пущино","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",10
"г. Пущино","Лицо","Работающие не по найму с привлечением наемных работников",146
"г. Пущино","Лицо","Работающие не по найму без привлечения наемных работников",161
"г. Пущино","Лицо","Работающие не по найму - иное",11
"г. Реутов","Лицо","Не указавшие положение в занятости",37682
"г. Реутов","Лицо","Работающие по найму",37223
"г. Реутов","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",70
"г. Реутов","Лицо","Работающие не по найму с привлечением наемных работников",439
"г. Реутов","Лицо","Работающие не по найму без привлечения наемных работников",563
"г. Реутов","Лицо","Работающие не по найму - иное",51
"г. Рошаль","Лицо","Не указавшие положение в занятости",12660
"г. Рошаль","Лицо","Работающие по найму",9388
"г. Рошаль","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",16
"г. Рошаль","Лицо","Работающие не по найму с привлечением наемных работников",158
"г. Рошаль","Лицо","Работающие не по найму без привлечения наемных работников",135
"г. Рошаль","Лицо","Работающие не по найму - иное",51
"г. Протвино","Лицо","Не указавшие положение в занятости",17661
"г. Протвино","Лицо","Работающие по найму",17493
"г. Протвино","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",70
"г. Протвино","Лицо","Работающие не по найму с привлечением наемных работников",384
"г. Протвино","Лицо","Работающие не по найму без привлечения наемных работников",430
"г. Протвино","Лицо","Работающие не по найму - иное",140
"г. Серпухов","Лицо","Не указавшие положение в занятости",65623
"г. Серпухов","Лицо","Работающие по найму",58996
"г. Серпухов","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",94
"г. Серпухов","Лицо","Работающие не по найму с привлечением наемных работников",936
"г. Серпухов","Лицо","Работающие не по найму без привлечения наемных работников",2004
"г. Серпухов","Лицо","Работающие не по найму - иное",195
"г. Троицк","Лицо","Не указавшие положение в занятости",16040
"г. Троицк","Лицо","Работающие по найму",16053
"г. Троицк","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",15
"г. Троицк","Лицо","Работающие не по найму с привлечением наемных работников",189
"г. Троицк","Лицо","Работающие не по найму без привлечения наемных работников",330
"г. Троицк","Лицо","Работающие не по найму - иное",21
"г. Фрязино","Лицо","Не указавшие положение в занятости",26219
"г. Фрязино","Лицо","Работающие по найму",24739
"г. Фрязино","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",43
"г. Фрязино","Лицо","Работающие не по найму с привлечением наемных работников",555
"г. Фрязино","Лицо","Работающие не по найму без привлечения наемных работников",705
"г. Фрязино","Лицо","Работающие не по найму - иное",79
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Не указавшие положение в занятости",14168
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Работающие по найму",13136
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",77
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Работающие не по найму с привлечением наемных работников",181
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Работающие не по найму без привлечения наемных работников",260
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Работающие не по найму - иное",23
"г. Электросталь","Лицо","Не указавшие положение в занятости",69117
"г. Электросталь","Лицо","Работающие по найму",73608
"г. Электросталь","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",100
"г. Электросталь","Лицо","Работающие не по найму с привлечением наемных работников",695
"г. Электросталь","Лицо","Работающие не по найму без привлечения наемных работников",1447
"г. Электросталь","Лицо","Работающие не по найму - иное",280
"г. Юбилейный","Лицо","Не указавшие положение в занятости",15440
"г. Юбилейный","Лицо","Работающие по найму",14895
"г. Юбилейный","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",19
"г. Юбилейный","Лицо","Работающие не по найму с привлечением наемных работников",196
"г. Юбилейный","Лицо","Работающие не по найму без привлечения наемных работников",219
"г. Юбилейный","Лицо","Работающие не по найму - иное",33
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не указавшие положение в занятости",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие по найму",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму с привлечением наемных работников",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму без привлечения наемных работников",0
