SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Выксунский район","Лицо","Работающие не по найму - иное",0
"Гагинский район","Лицо","Не указавшие положение в занятости",9365
"Гагинский район","Лицо","Работающие по найму",5575
"Гагинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",8
"Гагинский район","Лицо","Работающие не по найму с привлечением наемных работников",20
"Гагинский район","Лицо","Работающие не по найму без привлечения наемных работников",65
"Гагинский район","Лицо","Работающие не по найму - иное",8
"Городецкий район","Лицо","Не указавшие положение в занятости",32487
"Городецкий район","Лицо","Работающие по найму",31259
"Городецкий район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",37
"Городецкий район","Лицо","Работающие не по найму с привлечением наемных работников",259
"Городецкий район","Лицо","Работающие не по найму без привлечения наемных работников",523
"Городецкий район","Лицо","Работающие не по найму - иное",35
"Дальнеконстантиновский район","Лицо","Не указавшие положение в занятости",14739
"Дальнеконстантиновский район","Лицо","Работающие по найму",9819
"Дальнеконстантиновский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",8
"Дальнеконстантиновский район","Лицо","Работающие не по найму с привлечением наемных работников",60
"Дальнеконстантиновский район","Лицо","Работающие не по найму без привлечения наемных работников",93
"Дальнеконстантиновский район","Лицо","Работающие не по найму - иное",11
"Володарский район","Лицо","Не указавшие положение в занятости",26266
"Володарский район","Лицо","Работающие по найму",25042
"Володарский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",31
"Володарский район","Лицо","Работающие не по найму с привлечением наемных работников",207
"Володарский район","Лицо","Работающие не по найму без привлечения наемных работников",250
"Володарский район","Лицо","Работающие не по найму - иное",29
"Дивеевский район","Лицо","Не указавшие положение в занятости",10473
"Дивеевский район","Лицо","Работающие по найму",6608
"Дивеевский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",26
"Дивеевский район","Лицо","Работающие не по найму с привлечением наемных работников",49
"Дивеевский район","Лицо","Работающие не по найму без привлечения наемных работников",120
"Дивеевский район","Лицо","Работающие не по найму - иное",25
"Княгининский район","Лицо","Не указавшие положение в занятости",7191
"Княгининский район","Лицо","Работающие по найму",5322
"Княгининский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",14
"Княгининский район","Лицо","Работающие не по найму с привлечением наемных работников",52
"Княгининский район","Лицо","Работающие не по найму без привлечения наемных работников",110
"Княгининский район","Лицо","Работающие не по найму - иное",0
"Ковернинский район","Лицо","Не указавшие положение в занятости",12442
"Ковернинский район","Лицо","Работающие по найму",8608
"Ковернинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",17
"Ковернинский район","Лицо","Работающие не по найму с привлечением наемных работников",90
"Ковернинский район","Лицо","Работающие не по найму без привлечения наемных работников",195
"Ковернинский район","Лицо","Работающие не по найму - иное",13
"Краснобаковский район","Лицо","Не указавшие положение в занятости",13694
"Краснобаковский район","Лицо","Работающие по найму",8677
"Краснобаковский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",22
"Краснобаковский район","Лицо","Работающие не по найму с привлечением наемных работников",104
"Краснобаковский район","Лицо","Работающие не по найму без привлечения наемных работников",99
"Краснобаковский район","Лицо","Работающие не по найму - иное",56
"Краснооктябрьский район","Лицо","Не указавшие положение в занятости",9289
"Краснооктябрьский район","Лицо","Работающие по найму",4121
"Краснооктябрьский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",12
"Краснооктябрьский район","Лицо","Работающие не по найму с привлечением наемных работников",15
"Краснооктябрьский район","Лицо","Работающие не по найму без привлечения наемных работников",18
"Краснооктябрьский район","Лицо","Работающие не по найму - иное",9
"Кстовский район","Лицо","Не указавшие положение в занятости",26257
"Кстовский район","Лицо","Работающие по найму",19772
"Кстовский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",47
"Кстовский район","Лицо","Работающие не по найму с привлечением наемных работников",235
"Кстовский район","Лицо","Работающие не по найму без привлечения наемных работников",246
"Кстовский район","Лицо","Работающие не по найму - иное",45
"Кулебакский район","Лицо","Не указавшие положение в занятости",12034
"Кулебакский район","Лицо","Работающие по найму",5440
"Кулебакский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",18
"Кулебакский район","Лицо","Работающие не по найму с привлечением наемных работников",55
"Кулебакский район","Лицо","Работающие не по найму без привлечения наемных работников",100
"Кулебакский район","Лицо","Работающие не по найму - иное",0
"Лукояновский район","Лицо","Не указавшие положение в занятости",22335
"Лукояновский район","Лицо","Работающие по найму",11713
"Лукояновский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",11
"Лукояновский район","Лицо","Работающие не по найму с привлечением наемных работников",83
"Лукояновский район","Лицо","Работающие не по найму без привлечения наемных работников",166
"Лукояновский район","Лицо","Работающие не по найму - иное",10
"Лысковский район","Лицо","Не указавшие положение в занятости",26748
"Лысковский район","Лицо","Работающие по найму",14550
"Лысковский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",55
"Лысковский район","Лицо","Работающие не по найму с привлечением наемных работников",271
"Лысковский район","Лицо","Работающие не по найму без привлечения наемных работников",856
"Лысковский район","Лицо","Работающие не по найму - иное",46
"Навашинский район","Лицо","Не указавшие положение в занятости",16376
"Навашинский район","Лицо","Работающие по найму",10747
"Навашинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",5
"Навашинский район","Лицо","Работающие не по найму с привлечением наемных работников",90
"Навашинский район","Лицо","Работающие не по найму без привлечения наемных работников",313
"Навашинский район","Лицо","Работающие не по найму - иное",14
"Павловский район","Лицо","Не указавшие положение в занятости",25111
"Павловский район","Лицо","Работающие по найму",17652
"Павловский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",25
"Павловский район","Лицо","Работающие не по найму с привлечением наемных работников",116
"Павловский район","Лицо","Работающие не по найму без привлечения наемных работников",330
"Павловский район","Лицо","Работающие не по найму - иное",30
"Первомайский район","Лицо","Не указавшие положение в занятости",12719
"Первомайский район","Лицо","Работающие по найму",9300
"Первомайский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",21
"Первомайский район","Лицо","Работающие не по найму с привлечением наемных работников",57
"Первомайский район","Лицо","Работающие не по найму без привлечения наемных работников",130
"Первомайский район","Лицо","Работающие не по найму - иное",16
"Перевозский район","Лицо","Не указавшие положение в занятости",10721
"Перевозский район","Лицо","Работающие по найму",6918
"Перевозский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Перевозский район","Лицо","Работающие не по найму с привлечением наемных работников",56
"Перевозский район","Лицо","Работающие не по найму без привлечения наемных работников",184
"Перевозский район","Лицо","Работающие не по найму - иное",9
"Пильнинский район","Лицо","Не указавшие положение в занятости",16314
"Пильнинский район","Лицо","Работающие по найму",8690
"Пильнинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",18
"Пильнинский район","Лицо","Работающие не по найму с привлечением наемных работников",69
"Пильнинский район","Лицо","Работающие не по найму без привлечения наемных работников",173
"Пильнинский район","Лицо","Работающие не по найму - иное",10
"Починковский район","Лицо","Не указавшие положение в занятости",21165
"Починковский район","Лицо","Работающие по найму",12347
"Починковский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",9
"Починковский район","Лицо","Работающие не по найму с привлечением наемных работников",45
"Починковский район","Лицо","Работающие не по найму без привлечения наемных работников",78
"Починковский район","Лицо","Работающие не по найму - иное",29
"Семеновский район","Лицо","Не указавшие положение в занятости",29626
"Семеновский район","Лицо","Работающие по найму",19581
"Семеновский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",24
"Семеновский район","Лицо","Работающие не по найму с привлечением наемных работников",242
"Семеновский район","Лицо","Работающие не по найму без привлечения наемных работников",481
"Семеновский район","Лицо","Работающие не по найму - иное",53
"Сергачский район","Лицо","Не указавшие положение в занятости",21821
"Сергачский район","Лицо","Работающие по найму",13455
"Сергачский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",17
"Сергачский район","Лицо","Работающие не по найму с привлечением наемных работников",74
"Сергачский район","Лицо","Работающие не по найму без привлечения наемных работников",275
"Сергачский район","Лицо","Работающие не по найму - иное",45
"Сеченовский район","Лицо","Не указавшие положение в занятости",11568
"Сеченовский район","Лицо","Работающие по найму",6030
"Сеченовский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Сеченовский район","Лицо","Работающие не по найму с привлечением наемных работников",21
"Сеченовский район","Лицо","Работающие не по найму без привлечения наемных работников",53
"Сеченовский район","Лицо","Работающие не по найму - иное",0
"Сосновский район","Лицо","Не указавшие положение в занятости",12659
"Сосновский район","Лицо","Работающие по найму",9028
"Сосновский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",9
"Сосновский район","Лицо","Работающие не по найму с привлечением наемных работников",60
"Сосновский район","Лицо","Работающие не по найму без привлечения наемных работников",67
"Сосновский район","Лицо","Работающие не по найму - иное",10
"Спасский район","Лицо","Не указавшие положение в занятости",9141
"Спасский район","Лицо","Работающие по найму",4159
"Спасский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",11
"Спасский район","Лицо","Работающие не по найму с привлечением наемных работников",19
"Спасский район","Лицо","Работающие не по найму без привлечения наемных работников",28
"Спасский район","Лицо","Работающие не по найму - иное",74
"Тонкинский район","Лицо","Не указавшие положение в занятости",6505
"Тонкинский район","Лицо","Работающие по найму",4478
"Тонкинский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Тонкинский район","Лицо","Работающие не по найму с привлечением наемных работников",29
"Тонкинский район","Лицо","Работающие не по найму без привлечения наемных работников",40
"Тонкинский район","Лицо","Работающие не по найму - иное",0
"Тоншаевский район","Лицо","Не указавшие положение в занятости",10038
"Тоншаевский район","Лицо","Работающие по найму",6636
"Тоншаевский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",7
"Тоншаевский район","Лицо","Работающие не по найму с привлечением наемных работников",54
"Тоншаевский район","Лицо","Работающие не по найму без привлечения наемных работников",63
"Тоншаевский район","Лицо","Работающие не по найму - иное",6
"Уренский район","Лицо","Не указавшие положение в занятости",18958
"Уренский район","Лицо","Работающие по найму",12411
"Уренский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",17
"Уренский район","Лицо","Работающие не по найму с привлечением наемных работников",140
"Уренский район","Лицо","Работающие не по найму без привлечения наемных работников",329
"Уренский район","Лицо","Работающие не по найму - иное",55
"Чкаловский район","Лицо","Не указавшие положение в занятости",14952
"Чкаловский район","Лицо","Работающие по найму",10052
"Чкаловский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",17
"Чкаловский район","Лицо","Работающие не по найму с привлечением наемных работников",103
"Чкаловский район","Лицо","Работающие не по найму без привлечения наемных работников",214
"Чкаловский район","Лицо","Работающие не по найму - иное",16
"Шарангский район","Лицо","Не указавшие положение в занятости",8411
"Шарангский район","Лицо","Работающие по найму",5133
"Шарангский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",12
"Шарангский район","Лицо","Работающие не по найму с привлечением наемных работников",55
"Шарангский район","Лицо","Работающие не по найму без привлечения наемных работников",95
"Шарангский район","Лицо","Работающие не по найму - иное",0
"Шатковский район","Лицо","Не указавшие положение в занятости",16751
"Шатковский район","Лицо","Работающие по найму",11151
"Шатковский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",12
"Шатковский район","Лицо","Работающие не по найму с привлечением наемных работников",67
"Шатковский район","Лицо","Работающие не по найму без привлечения наемных работников",140
"Шатковский район","Лицо","Работающие не по найму - иное",0
"Шахунский район","Лицо","Не указавшие положение в занятости",25976
"Шахунский район","Лицо","Работающие по найму",17242
"Шахунский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",39
"Шахунский район","Лицо","Работающие не по найму с привлечением наемных работников",311
"Шахунский район","Лицо","Работающие не по найму без привлечения наемных работников",546
"Шахунский район","Лицо","Работающие не по найму - иное",56
"Сокольский район","Лицо","Не указавшие положение в занятости",10154
"Сокольский район","Лицо","Работающие по найму",5747
"Сокольский район","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Сокольский район","Лицо","Работающие не по найму с привлечением наемных работников",45
"Сокольский район","Лицо","Работающие не по найму без привлечения наемных работников",82
"Сокольский район","Лицо","Работающие не по найму - иное",29
"Города областного подчинения Нижегородской области","Лицо","Не указавшие положение в занятости",0
"Города областного подчинения Нижегородской области","Лицо","Работающие по найму",0
"Города областного подчинения Нижегородской области","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Города областного подчинения Нижегородской области","Лицо","Работающие не по найму с привлечением наемных работников",0
"Города областного подчинения Нижегородской области","Лицо","Работающие не по найму без привлечения наемных работников",0
"Города областного подчинения Нижегородской области","Лицо","Работающие не по найму - иное",0
"г. Нижний Новгород","Лицо","Не указавшие положение в занятости",663175
"г. Нижний Новгород","Лицо","Работающие по найму",610521
"г. Нижний Новгород","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",1034
"г. Нижний Новгород","Лицо","Работающие не по найму с привлечением наемных работников",12655
"г. Нижний Новгород","Лицо","Работающие не по найму без привлечения наемных работников",17018
"г. Нижний Новгород","Лицо","Работающие не по найму - иное",2563
"г. Арзамас","Лицо","Не указавшие положение в занятости",53663
"г. Арзамас","Лицо","Работающие по найму",51579
"г. Арзамас","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",114
"г. Арзамас","Лицо","Работающие не по найму с привлечением наемных работников",741
"г. Арзамас","Лицо","Работающие не по найму без привлечения наемных работников",2006
"г. Арзамас","Лицо","Работающие не по найму - иное",212
"г. Балахна","Лицо","Не указавшие положение в занятости",31435
"г. Балахна","Лицо","Работающие по найму",24887
"г. Балахна","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",27
"г. Балахна","Лицо","Работающие не по найму с привлечением наемных работников",217
"г. Балахна","Лицо","Работающие не по найму без привлечения наемных работников",438
"г. Балахна","Лицо","Работающие не по найму - иное",91
"г. Богородск","Лицо","Не указавшие положение в занятости",19797
"г. Богородск","Лицо","Работающие по найму",14496
"г. Богородск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",16
"г. Богородск","Лицо","Работающие не по найму с привлечением наемных работников",175
"г. Богородск","Лицо","Работающие не по найму без привлечения наемных работников",519
"г. Богородск","Лицо","Работающие не по найму - иное",52
"г. Бор","Лицо","Не указавшие положение в занятости",31696
"г. Бор","Лицо","Работающие по найму",26535
"г. Бор","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",123
"г. Бор","Лицо","Работающие не по найму с привлечением наемных работников",381
"г. Бор","Лицо","Работающие не по найму без привлечения наемных работников",786
"г. Бор","Лицо","Работающие не по найму - иное",136
"г. Выкса","Лицо","Не указавшие положение в занятости",30287
"г. Выкса","Лицо","Работающие по найму",30483
"г. Выкса","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",34
"г. Выкса","Лицо","Работающие не по найму с привлечением наемных работников",377
"г. Выкса","Лицо","Работающие не по найму без привлечения наемных работников",363
"г. Выкса","Лицо","Работающие не по найму - иное",20
"г. Городец","Лицо","Не указавшие положение в занятости",16527
"г. Городец","Лицо","Работающие по найму",14487
"г. Городец","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",36
"г. Городец","Лицо","Работающие не по найму с привлечением наемных работников",201
"г. Городец","Лицо","Работающие не по найму без привлечения наемных работников",522
"г. Городец","Лицо","Работающие не по найму - иное",15
"Сельские населенные пункты, подчиненные администрации г. Дзержинска","Лицо","Не указавшие положение в занятости",134534
"Сельские населенные пункты, подчиненные администрации г. Дзержинска","Лицо","Работающие по найму",127549
"Сельские населенные пункты, подчиненные администрации г. Дзержинска","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",143
"Сельские населенные пункты, подчиненные администрации г. Дзержинска","Лицо","Работающие не по найму с привлечением наемных работников",1947
"Сельские населенные пункты, подчиненные администрации г. Дзержинска","Лицо","Работающие не по найму без привлечения наемных работников",2434
"Сельские населенные пункты, подчиненные администрации г. Дзержинска","Лицо","Работающие не по найму - иное",272
"г. Кстово","Лицо","Не указавшие положение в занятости",33861
"г. Кстово","Лицо","Работающие по найму",30596
"г. Кстово","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",62
"г. Кстово","Лицо","Работающие не по найму с привлечением наемных работников",482
"г. Кстово","Лицо","Работающие не по найму без привлечения наемных работников",788
"г. Кстово","Лицо","Работающие не по найму - иное",66
"Сельские населенные пункты, подчиненные администрации г. Кулебаки","Лицо","Не указавшие положение в занятости",23357
"Сельские населенные пункты, подчиненные администрации г. Кулебаки","Лицо","Работающие по найму",14952
"Сельские населенные пункты, подчиненные администрации г. Кулебаки","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",30
"Сельские населенные пункты, подчиненные администрации г. Кулебаки","Лицо","Работающие не по найму с привлечением наемных работников",223
"Сельские населенные пункты, подчиненные администрации г. Кулебаки","Лицо","Работающие не по найму без привлечения наемных работников",433
"Сельские населенные пункты, подчиненные администрации г. Кулебаки","Лицо","Работающие не по найму - иное",63
"г. Павлово","Лицо","Не указавшие положение в занятости",33851
"г. Павлово","Лицо","Работающие по найму",29224
"г. Павлово","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",43
"г. Павлово","Лицо","Работающие не по найму с привлечением наемных работников",434
"г. Павлово","Лицо","Работающие не по найму без привлечения наемных работников",983
"г. Павлово","Лицо","Работающие не по найму - иное",130
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не указавшие положение в занятости",0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие по найму",0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму с привлечением наемных работников",0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму без привлечения наемных работников",0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму - иное",0
"г. Саров","Лицо","Не указавшие положение в занятости",35134
"г. Саров","Лицо","Работающие по найму",49206
"г. Саров","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",57
"г. Саров","Лицо","Работающие не по найму с привлечением наемных работников",365
"г. Саров","Лицо","Работающие не по найму без привлечения наемных работников",547
"г. Саров","Лицо","Работающие не по найму - иное",125
"Total","Лицо","Не указавшие положение в занятости",1876705
"Total","Лицо","Работающие по найму",1522688
"Total","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",2575
"Total","Лицо","Работающие не по найму с привлечением наемных работников",22587
"Total","Лицо","Работающие не по найму без привлечения наемных работников",36567
"Total","Лицо","Работающие не по найму - иное",4816


"INFO","Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
