SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Отрасль экономики"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Отрасль экономики";
"Лахденпохский район";"Лицо";"Сельское хозяйство";88
"Лахденпохский район";"Лицо";"Строительство";46
"Лахденпохский район";"Лицо";"Транспорт";142
"Лахденпохский район";"Лицо";"Управление";138
"Лахденпохский район";"Лицо";"Финансы, кредит, страхование";13
"Лоухский район";"Лицо";"Вид экономической деятельности не указан";2838
"Лоухский район";"Лицо";"Другой";34
"Лоухский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";116
"Лоухский район";"Лицо";"Здравоохранение и социальное обеспечение";145
"Лоухский район";"Лицо";"Культура и искусство";34
"Лоухский район";"Лицо";"Лесное хозяйство";432
"Лоухский район";"Лицо";"Наука и научное обслуживание";0
"Лоухский район";"Лицо";"Образование";265
"Лоухский район";"Лицо";"Общественное питание";36
"Лоухский район";"Лицо";"Оптовая и розничная торговля";186
"Лоухский район";"Лицо";"Промышленность";256
"Лоухский район";"Лицо";"Связь";55
"Лоухский район";"Лицо";"Сельское хозяйство";25
"Лоухский район";"Лицо";"Строительство";50
"Лоухский район";"Лицо";"Транспорт";261
"Лоухский район";"Лицо";"Управление";172
"Лоухский район";"Лицо";"Финансы, кредит, страхование";18
"Медвежьегорский район";"Лицо";"Вид экономической деятельности не указан";5369
"Медвежьегорский район";"Лицо";"Другой";53
"Медвежьегорский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";229
"Медвежьегорский район";"Лицо";"Здравоохранение и социальное обеспечение";391
"Медвежьегорский район";"Лицо";"Культура и искусство";70
"Медвежьегорский район";"Лицо";"Лесное хозяйство";307
"Медвежьегорский район";"Лицо";"Наука и научное обслуживание";0
"Медвежьегорский район";"Лицо";"Образование";390
"Медвежьегорский район";"Лицо";"Общественное питание";48
"Медвежьегорский район";"Лицо";"Оптовая и розничная торговля";361
"Медвежьегорский район";"Лицо";"Промышленность";679
"Медвежьегорский район";"Лицо";"Связь";115
"Медвежьегорский район";"Лицо";"Сельское хозяйство";198
"Медвежьегорский район";"Лицо";"Строительство";114
"Медвежьегорский район";"Лицо";"Транспорт";614
"Медвежьегорский район";"Лицо";"Управление";234
"Медвежьегорский район";"Лицо";"Финансы, кредит, страхование";15
"Муезерский район";"Лицо";"Вид экономической деятельности не указан";2413
"Муезерский район";"Лицо";"Другой";13
"Муезерский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";98
"Муезерский район";"Лицо";"Здравоохранение и социальное обеспечение";140
"Муезерский район";"Лицо";"Культура и искусство";31
"Муезерский район";"Лицо";"Лесное хозяйство";538
"Муезерский район";"Лицо";"Наука и научное обслуживание";0
"Муезерский район";"Лицо";"Образование";184
"Муезерский район";"Лицо";"Общественное питание";14
"Муезерский район";"Лицо";"Оптовая и розничная торговля";123
"Муезерский район";"Лицо";"Промышленность";47
"Муезерский район";"Лицо";"Связь";62
"Муезерский район";"Лицо";"Сельское хозяйство";27
"Муезерский район";"Лицо";"Строительство";32
"Муезерский район";"Лицо";"Транспорт";181
"Муезерский район";"Лицо";"Управление";138
"Муезерский район";"Лицо";"Финансы, кредит, страхование";20
"Олонецкий район";"Лицо";"Вид экономической деятельности не указан";3943
"Олонецкий район";"Лицо";"Другой";21
"Олонецкий район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";128
"Олонецкий район";"Лицо";"Здравоохранение и социальное обеспечение";279
"Олонецкий район";"Лицо";"Культура и искусство";33
"Олонецкий район";"Лицо";"Лесное хозяйство";237
"Олонецкий район";"Лицо";"Наука и научное обслуживание";0
"Олонецкий район";"Лицо";"Образование";380
"Олонецкий район";"Лицо";"Общественное питание";40
"Олонецкий район";"Лицо";"Оптовая и розничная торговля";263
"Олонецкий район";"Лицо";"Промышленность";344
"Олонецкий район";"Лицо";"Связь";43
"Олонецкий район";"Лицо";"Сельское хозяйство";528
"Олонецкий район";"Лицо";"Строительство";70
"Олонецкий район";"Лицо";"Транспорт";87
"Олонецкий район";"Лицо";"Управление";157
"Олонецкий район";"Лицо";"Финансы, кредит, страхование";13
"Питкярантский район";"Лицо";"Вид экономической деятельности не указан";1702
"Питкярантский район";"Лицо";"Другой";15
"Питкярантский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";68
"Питкярантский район";"Лицо";"Здравоохранение и социальное обеспечение";48
"Питкярантский район";"Лицо";"Культура и искусство";17
"Питкярантский район";"Лицо";"Лесное хозяйство";63
"Питкярантский район";"Лицо";"Наука и научное обслуживание";0
"Питкярантский район";"Лицо";"Образование";135
"Питкярантский район";"Лицо";"Общественное питание";19
"Питкярантский район";"Лицо";"Оптовая и розничная торговля";56
"Питкярантский район";"Лицо";"Промышленность";334
"Питкярантский район";"Лицо";"Связь";11
"Питкярантский район";"Лицо";"Сельское хозяйство";82
"Питкярантский район";"Лицо";"Строительство";14
"Питкярантский район";"Лицо";"Транспорт";22
"Питкярантский район";"Лицо";"Управление";27
"Питкярантский район";"Лицо";"Финансы, кредит, страхование";0
"Прионежский район";"Лицо";"Вид экономической деятельности не указан";2608
"Прионежский район";"Лицо";"Другой";20
"Прионежский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";128
"Прионежский район";"Лицо";"Здравоохранение и социальное обеспечение";205
"Прионежский район";"Лицо";"Культура и искусство";29
"Прионежский район";"Лицо";"Лесное хозяйство";162
"Прионежский район";"Лицо";"Наука и научное обслуживание";0
"Прионежский район";"Лицо";"Образование";224
"Прионежский район";"Лицо";"Общественное питание";39
"Прионежский район";"Лицо";"Оптовая и розничная торговля";153
"Прионежский район";"Лицо";"Промышленность";353
"Прионежский район";"Лицо";"Связь";25
"Прионежский район";"Лицо";"Сельское хозяйство";226
"Прионежский район";"Лицо";"Строительство";91
"Прионежский район";"Лицо";"Транспорт";135
"Прионежский район";"Лицо";"Управление";99
"Прионежский район";"Лицо";"Финансы, кредит, страхование";10
"Пряжинский район";"Лицо";"Вид экономической деятельности не указан";2511
"Пряжинский район";"Лицо";"Другой";23
"Пряжинский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";96
"Пряжинский район";"Лицо";"Здравоохранение и социальное обеспечение";172
"Пряжинский район";"Лицо";"Культура и искусство";23
"Пряжинский район";"Лицо";"Лесное хозяйство";261
"Пряжинский район";"Лицо";"Наука и научное обслуживание";7
"Пряжинский район";"Лицо";"Образование";169
"Пряжинский район";"Лицо";"Общественное питание";46
"Пряжинский район";"Лицо";"Оптовая и розничная торговля";128
"Пряжинский район";"Лицо";"Промышленность";117
"Пряжинский район";"Лицо";"Связь";42
"Пряжинский район";"Лицо";"Сельское хозяйство";310
"Пряжинский район";"Лицо";"Строительство";37
"Пряжинский район";"Лицо";"Транспорт";73
"Пряжинский район";"Лицо";"Управление";229
"Пряжинский район";"Лицо";"Финансы, кредит, страхование";13
"Пудожский район";"Лицо";"Вид экономической деятельности не указан";4137
"Пудожский район";"Лицо";"Другой";19
"Пудожский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";149
"Пудожский район";"Лицо";"Здравоохранение и социальное обеспечение";204
"Пудожский район";"Лицо";"Культура и искусство";47
"Пудожский район";"Лицо";"Лесное хозяйство";802
"Пудожский район";"Лицо";"Наука и научное обслуживание";0
"Пудожский район";"Лицо";"Образование";268
"Пудожский район";"Лицо";"Общественное питание";31
"Пудожский район";"Лицо";"Оптовая и розничная торговля";257
"Пудожский район";"Лицо";"Промышленность";364
"Пудожский район";"Лицо";"Связь";57
"Пудожский район";"Лицо";"Сельское хозяйство";49
"Пудожский район";"Лицо";"Строительство";87
"Пудожский район";"Лицо";"Транспорт";84
"Пудожский район";"Лицо";"Управление";160
"Пудожский район";"Лицо";"Финансы, кредит, страхование";17
"Сегежский район";"Лицо";"Вид экономической деятельности не указан";1879
"Сегежский район";"Лицо";"Другой";12
"Сегежский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";110
"Сегежский район";"Лицо";"Здравоохранение и социальное обеспечение";109
"Сегежский район";"Лицо";"Культура и искусство";12
"Сегежский район";"Лицо";"Лесное хозяйство";133
"Сегежский район";"Лицо";"Наука и научное обслуживание";0
"Сегежский район";"Лицо";"Образование";145
"Сегежский район";"Лицо";"Общественное питание";22
"Сегежский район";"Лицо";"Оптовая и розничная торговля";76
"Сегежский район";"Лицо";"Промышленность";462
"Сегежский район";"Лицо";"Связь";34
"Сегежский район";"Лицо";"Сельское хозяйство";7
"Сегежский район";"Лицо";"Строительство";20
"Сегежский район";"Лицо";"Транспорт";76
"Сегежский район";"Лицо";"Управление";112
"Сегежский район";"Лицо";"Финансы, кредит, страхование";0
"Суоярвский район";"Лицо";"Вид экономической деятельности не указан";3282
"Суоярвский район";"Лицо";"Другой";27
"Суоярвский район";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";144
"Суоярвский район";"Лицо";"Здравоохранение и социальное обеспечение";185
"Суоярвский район";"Лицо";"Культура и искусство";47
"Суоярвский район";"Лицо";"Лесное хозяйство";663
"Суоярвский район";"Лицо";"Наука и научное обслуживание";0
"Суоярвский район";"Лицо";"Образование";233
"Суоярвский район";"Лицо";"Общественное питание";28
"Суоярвский район";"Лицо";"Оптовая и розничная торговля";149
"Суоярвский район";"Лицо";"Промышленность";455
"Суоярвский район";"Лицо";"Связь";57
"Суоярвский район";"Лицо";"Сельское хозяйство";33
"Суоярвский район";"Лицо";"Строительство";53
"Суоярвский район";"Лицо";"Транспорт";329
"Суоярвский район";"Лицо";"Управление";213
"Суоярвский район";"Лицо";"Финансы, кредит, страхование";26
"Города республиканского подчинения Республики Карелия";"Лицо";"Вид экономической деятельности не указан";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Другой";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Здравоохранение и социальное обеспечение";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Культура и искусство";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Лесное хозяйство";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Наука и научное обслуживание";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Образование";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Общественное питание";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Оптовая и розничная торговля";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Промышленность";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Связь";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Сельское хозяйство";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Строительство";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Транспорт";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Управление";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Финансы, кредит, страхование";0
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Вид экономической деятельности не указан";35479
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Другой";926
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";1885
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Здравоохранение и социальное обеспечение";3039
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Культура и искусство";802
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Лесное хозяйство";279
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Наука и научное обслуживание";265
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Образование";3630
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Общественное питание";667
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Оптовая и розничная торговля";4706
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Промышленность";5327
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Связь";653
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Сельское хозяйство";246
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Строительство";2238
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Транспорт";3162
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Управление";3151
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Финансы, кредит, страхование";531
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Вид экономической деятельности не указан";2047
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Другой";15
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";111
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Здравоохранение и социальное обеспечение";159
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Культура и искусство";29
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Лесное хозяйство";37
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Наука и научное обслуживание";0
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Образование";143
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Общественное питание";21
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Оптовая и розничная торговля";204
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Промышленность";185
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Связь";41
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Сельское хозяйство";17
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Строительство";79
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Транспорт";532
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Управление";162
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Финансы, кредит, страхование";19
"г. Кондопога";"Лицо";"Вид экономической деятельности не указан";4705
"г. Кондопога";"Лицо";"Другой";36
"г. Кондопога";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";242
"г. Кондопога";"Лицо";"Здравоохранение и социальное обеспечение";312
"г. Кондопога";"Лицо";"Культура и искусство";33
"г. Кондопога";"Лицо";"Лесное хозяйство";83
"г. Кондопога";"Лицо";"Наука и научное обслуживание";0
"г. Кондопога";"Лицо";"Образование";359
"г. Кондопога";"Лицо";"Общественное питание";119
"г. Кондопога";"Лицо";"Оптовая и розничная торговля";374
"г. Кондопога";"Лицо";"Промышленность";2363
"г. Кондопога";"Лицо";"Связь";81
"г. Кондопога";"Лицо";"Сельское хозяйство";73
"г. Кондопога";"Лицо";"Строительство";211
"г. Кондопога";"Лицо";"Транспорт";182
"г. Кондопога";"Лицо";"Управление";203
"г. Кондопога";"Лицо";"Финансы, кредит, страхование";43
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Вид экономической деятельности не указан";3135
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Другой";27
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";287
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Здравоохранение и социальное обеспечение";238
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Культура и искусство";56
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Лесное хозяйство";66
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Наука и научное обслуживание";0
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Образование";351
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Общественное питание";123
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Оптовая и розничная торговля";394
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Промышленность";2029
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Связь";63
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Сельское хозяйство";23
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Строительство";117
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Транспорт";296
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Управление";249
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Финансы, кредит, страхование";35
"г. Питкяранта";"Лицо";"Вид экономической деятельности не указан";1617
"г. Питкяранта";"Лицо";"Другой";19
"г. Питкяранта";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";99
"г. Питкяранта";"Лицо";"Здравоохранение и социальное обеспечение";158
"г. Питкяранта";"Лицо";"Культура и искусство";36
"г. Питкяранта";"Лицо";"Лесное хозяйство";52
"г. Питкяранта";"Лицо";"Наука и научное обслуживание";0
"г. Питкяранта";"Лицо";"Образование";130
"г. Питкяранта";"Лицо";"Общественное питание";40
"г. Питкяранта";"Лицо";"Оптовая и розничная торговля";173
"г. Питкяранта";"Лицо";"Промышленность";698
"г. Питкяранта";"Лицо";"Связь";32
"г. Питкяранта";"Лицо";"Сельское хозяйство";9
"г. Питкяранта";"Лицо";"Строительство";86
"г. Питкяранта";"Лицо";"Транспорт";94
"г. Питкяранта";"Лицо";"Управление";97
"г. Питкяранта";"Лицо";"Финансы, кредит, страхование";11
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Вид экономической деятельности не указан";4351
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Другой";43
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";284
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Здравоохранение и социальное обеспечение";270
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Культура и искусство";37
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Лесное хозяйство";64
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Наука и научное обслуживание";0
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Образование";304
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Общественное питание";52
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Оптовая и розничная торговля";385
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Промышленность";1789
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Связь";71
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Сельское хозяйство";32
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Строительство";125
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Транспорт";234
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Управление";316
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Финансы, кредит, страхование";33
"г. Сортавала";"Лицо";"Вид экономической деятельности не указан";5139
"г. Сортавала";"Лицо";"Другой";68
"г. Сортавала";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";352
"г. Сортавала";"Лицо";"Здравоохранение и социальное обеспечение";395
"г. Сортавала";"Лицо";"Культура и искусство";77
"г. Сортавала";"Лицо";"Лесное хозяйство";163
"г. Сортавала";"Лицо";"Наука и научное обслуживание";0
"г. Сортавала";"Лицо";"Образование";399
"г. Сортавала";"Лицо";"Общественное питание";104
"г. Сортавала";"Лицо";"Оптовая и розничная торговля";596
"г. Сортавала";"Лицо";"Промышленность";635
"г. Сортавала";"Лицо";"Связь";91
"г. Сортавала";"Лицо";"Сельское хозяйство";225
